condition,seed,update,mean_reward,acceptable_rate,mean_violation,mean_actions,terminal_loss,policy_loss,action_loss,diagnostic_action_cross_entropy,diagnostic_action_accuracy
endpoint,0,34,0.6007348895072937,0.75,0.09926513461860553,5.0,0.21445654332637787,-4.396745681762695,0.0,4.9371657371521,0.0
endpoint,0,35,0.9650000333786011,1.0,0.0,3.5,0.21422559022903442,-0.056124236434698105,0.0,4.9662861824035645,0.0
endpoint,0,36,0.05689765512943268,0.25,0.11310234407032807,8.0,0.21364575624465942,-3.3187978267669678,0.0,4.9673566818237305,0.0
endpoint,0,37,0.37952178716659546,0.5,0.060478214529221176,6.0,0.21343277394771576,-5.142816543579102,0.0,4.967360496520996,0.0
endpoint,0,38,0.6588141322135925,0.75,0.038685889818860494,5.25,0.21352814137935638,-2.9859619140625,0.0,4.975508689880371,0.0
endpoint,0,39,0.32578450441360474,0.5,0.09421547889500187,8.0,0.21418718993663788,-4.688572406768799,0.0,5.036983966827393,0.0
endpoint,0,40,0.5549361109733582,0.75,0.14006393466886935,5.5,0.21502116322517395,-3.3461482524871826,0.0,5.064932823181152,0.0
endpoint,0,41,0.9600000381469727,1.0,0.0,4.0,0.2150973081588745,-0.07781331241130829,0.0,5.089591026306152,0.0
endpoint,0,42,0.9600000381469727,1.0,0.0,4.0,0.21434126794338226,-0.1530143916606903,0.0,5.109811782836914,0.0
endpoint,0,43,0.9600000381469727,1.0,0.0,4.0,0.21312056481838226,-0.15685059130191803,0.0,5.125706195831299,0.0
endpoint,0,44,0.6595882177352905,0.75,0.022911797491852928,6.75,0.21211126446723938,-1.1632834672927856,0.0,5.111379623413086,0.0
endpoint,0,45,0.3325982391834259,0.5,0.09990177298002435,6.75,0.2120312601327896,-5.104701042175293,0.0,5.15626859664917,0.0
endpoint,0,46,0.3438342213630676,0.5,0.09116578130062838,6.5,0.21271605789661407,-3.4318296909332275,0.0,5.229812145233154,0.0
endpoint,0,47,0.38971924781799316,0.5,0.05028074969437405,6.0,0.21192695200443268,-4.715963363647461,0.0,5.288607597351074,0.0
endpoint,0,48,0.27318111062049866,0.5,0.166818895160314,6.0,0.21051736176013947,-4.261475086212158,0.0,5.325364112854004,0.0
endpoint,0,49,0.024337396025657654,0.25,0.1456626196454881,8.0,0.2101508527994156,-3.109917163848877,0.0,5.344593048095703,0.0
endpoint,0,50,0.3373628854751587,0.5,0.09263709302496481,7.0,0.2115829437971115,-3.8020224571228027,0.0,5.363979339599609,0.0
endpoint,0,51,0.6613507866859436,0.75,0.0361492338110897,5.25,0.21373890340328217,-2.8977627754211426,0.0,5.396546363830566,0.0
endpoint,0,52,0.6663579940795898,0.75,0.033642029762268065,5.0,0.21406260132789612,-2.0095856189727783,0.0,5.423709392547607,0.0
endpoint,0,53,0.6678159832954407,0.75,0.007184010256523543,7.5,0.21339789032936096,-3.411885976791382,0.0,5.518773555755615,0.0
endpoint,0,54,0.6822059750556946,0.75,0.010294048951482792,5.75,0.2106589376926422,-1.7153432369232178,0.0,5.626786708831787,0.0
endpoint,0,55,0.5901371240615845,0.75,0.09736288958661998,6.25,0.20926333963871002,-3.266103982925415,0.0,5.725802421569824,0.0
endpoint,0,56,0.9725000262260437,1.0,0.0,2.75,0.2112705111503601,-0.02686871588230133,0.0,5.8189544677734375,0.0
endpoint,0,57,0.9750000238418579,1.0,0.0,2.5,0.2142401486635208,-0.027430465444922447,0.0,5.902043342590332,0.0
endpoint,0,58,0.9800000190734863,1.0,0.0,2.0,0.21517722308635712,0.0,0.0,5.973193645477295,0.0
endpoint,0,59,0.6836071014404297,0.75,0.011392908452496964,5.5,0.2136632651090622,-4.830239772796631,0.0,6.0912580490112305,0.0
endpoint,0,60,0.3609277307987213,0.5,0.07907227673533489,6.0,0.21225003898143768,-5.096381187438965,0.0,6.1653571128845215,0.0
trajectory,0,1,0.6787211298942566,0.75,0.008778874394324343,6.25,0.20440687239170074,-2.958834171295166,1.1216583251953125,1.4599976539611816,0.5050167441368103
trajectory,0,2,0.9600000381469727,1.0,0.0,4.0,0.20884376764297485,-0.08287499845027924,1.4599976539611816,1.633145809173584,0.4793757200241089
trajectory,0,3,0.629336416721344,0.75,0.06066362033859651,6.0,0.2114187479019165,-0.3177218437194824,1.633145809173584,1.5637589693069458,0.5183946490287781
trajectory,0,4,0.9449999928474426,1.0,0.0,5.5,0.21713866293430328,-0.1388181447982788,1.5637589693069458,1.6520044803619385,0.49163880944252014
trajectory,0,5,0.6494981050491333,0.75,0.04300189929849961,5.75,0.21863709390163422,-2.0342984199523926,1.6520044803619385,1.702072262763977,0.47826087474823
trajectory,0,6,0.6790753602981567,0.75,0.013424678839431492,5.75,0.2177233248949051,-1.3845210075378418,1.702072262763977,1.707229495048523,0.4738015830516815
trajectory,0,7,0.6878623366355896,0.75,0.02463769522257131,3.75,0.22168953716754913,-2.3782691955566406,1.707229495048523,1.8894494771957397,0.4715719223022461
